,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
ProviderNumber,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalName,0.22735211227776758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Address1,0.4992357723811812,0.4792214226091486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City,0.8861068936725909,0.811975850014364,0.48327419625570167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,0.0033723033260440434,0.003565010866973602,0.002068879544414787,0.001485132918093043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZipCode,1.4759092683872945,1.5302464305887102,0.8373341700604985,0.7086511191197129,0.0010496184564489515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountyName,0.8650571967376683,0.7768258162037891,0.4826541312614531,0.5221953299853407,0.0007307696725877963,0.19948693363771097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhoneNumber,1.4800155758897187,1.5645779350200781,0.9079605656949647,0.6517599864322924,0.0039366201609611256,0.2616729730234903,0.2722475349646246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalOwner,0.2451650507713717,0.25637267683856174,0.14404492881355033,0.11344488934034574,0.00038356903892672735,0.11234999922257613,0.01974925122699676,0.07254152449741326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmergencyService,0.3457125905197511,0.30888700886034454,0.2570298495491907,0.12288347800605388,0.00032445562686839717,0.11550088642317058,0.026885453286894866,0.05375146387193905,0.0,5.366378995218387e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Condition,0.010727689774303193,0.011728753375973419,0.007463351555128431,0.003959710736446991,6.584690198928078e-05,-0.007698520570580142,0.005496073599934823,0.020187927021947365,0.0,-1.536932463273609e-17,5.738271304476672e-19,1.0,0.0,0.0,0.0,0.0,0.0
MeasureCode,-0.1521053526590434,-0.1588455301195325,-0.08888355810383107,-0.07080424430124087,-0.00021745788781244284,-0.07498086499462722,-0.010315834201088857,-0.037891275440990586,0.0,6.73623845781508e-18,-6.343976146000702e-18,0.5231809371481759,1.0,0.0,0.0,0.0,0.0
MeasureName,-0.020534541186834822,-0.021399917169144248,-0.011898201213658397,-0.009646373487962694,-2.507545118977628e-05,-0.011223466219235818,-0.0009884246433736058,-0.0036305809804085764,0.0,-3.698713029838711e-18,-9.459531042106673e-19,0.14353448802093027,0.13473261463774894,1.0,0.0,0.0,0.0
Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sample,0.03004649378353967,0.03176323409311674,0.018432935394245963,0.01323168667932788,7.991918133927058e-05,0.005312346359965939,0.005527025526053063,0.020301471331122346,0.0,4.2286700408356094e-18,1.1020417472664154e-18,1.1159025134882888e-19,-1.6268541051833665e-18,-7.819698667608509e-20,0.0,1.0,0.0
Stateavg,-0.06846488344931641,-0.07121505629972219,-0.03936334280089384,-0.032426936090476734,-7.064467530937458e-05,-0.04075125008793575,-0.0020721127115357445,-0.007611038531972214,0.0,-4.172554703204893e-18,-3.51248584887621e-18,0.5847912075928151,0.40073211263676156,0.11706238843674904,0.0,2.5373252412601995e-19,1.0
