1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,1,1,3,3,3,3,2,1,1,1,3,2,3,2,3,3,3,3,2,3,3,3,1,3,3,3,3,2,3,3,1,3,3,3,1,3,1,3,3,2,3,3,2,3,1,2,3,3,3,3,2,3,2,3,3,3
2,3,4,4,2,3,4,4,4,4,3,3,3,2,4,3,1,3,4,4,4,2,3,4,4,4,1,4,4,4,2,1,4,4,3,4,4,4,3,4,1,4,4,3,4,2,3,4,3,3,4,4,4,4,3,1,3,4,4,4
1,4,5,5,1,4,5,5,5,5,4,4,1,1,5,4,3,1,5,5,5,1,4,5,5,5,3,5,5,5,2,3,5,2,4,5,5,5,4,4,3,5,5,2,4,2,2,5,1,4,4,5,5,5,1,3,4,5,5,5
2,2,6,2,3,3,6,6,6,6,5,5,2,3,6,4,3,4,6,6,6,4,5,6,6,2,3,6,6,6,3,2,6,1,5,6,6,6,3,3,2,6,6,4,1,3,4,6,4,4,1,6,6,6,1,4,5,6,6,6
3,5,7,5,4,3,7,7,7,7,6,2,4,1,5,2,2,2,7,7,2,4,6,7,7,6,4,7,7,5,2,3,7,4,6,7,7,7,1,2,4,5,7,5,4,2,2,7,3,1,1,7,7,7,4,2,1,7,7,7
4,6,8,4,3,1,8,8,8,8,7,5,3,1,7,5,3,1,8,8,7,1,7,2,8,7,3,7,8,4,2,4,8,3,7,8,8,8,1,3,5,7,8,6,5,1,3,8,3,1,5,8,8,1,5,2,4,8,8,8
1,7,9,6,2,2,9,9,9,9,8,6,1,4,8,1,4,1,1,9,8,4,8,8,9,8,2,8,9,6,4,5,6,3,8,9,9,9,5,1,2,8,9,7,6,1,3,9,4,1,2,9,9,8,5,3,1,9,9,9
4,5,7,3,4,2,10,10,10,10,9,4,4,2,9,3,1,1,9,10,9,1,4,9,9,9,3,4,10,2,2,2,9,1,9,10,10,10,2,2,2,9,10,8,5,2,5,10,5,3,1,10,10,9,2,3,2,10,10,10
4,6,10,4,4,3,11,11,11,11,10,1,1,1,8,6,4,2,10,2,10,4,9,10,10,10,2,9,11,3,1,2,10,4,10,6,11,11,4,4,2,10,11,9,6,2,4,9,4,3,5,11,11,10,1,2,3,11,11,11
