1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,1,3,3,3,3,3,3,1,3,2,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3
4,4,4,4,3,1,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,2,1,4,2,4,4,4,4,4,3,3,4,4,4,4,4,2,3,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,1,4
5,5,1,4,4,1,5,2,5,5,5,5,3,5,5,5,5,1,4,2,5,2,1,5,2,1,2,5,3,5,5,1,5,5,2,4,5,5,5,5,5,4,4,5,3,3,2,5,1,3,3,2,5,5,3,5,5,5,4,5
1,6,5,4,1,2,6,3,6,6,2,6,5,6,6,6,6,3,5,3,6,3,5,6,4,3,4,6,3,6,6,1,3,6,4,3,6,6,6,6,6,3,3,6,3,4,3,6,4,2,4,5,6,5,1,6,6,5,5,6
5,7,4,5,4,3,7,4,3,7,1,5,6,7,7,7,7,3,5,4,7,3,3,7,5,4,3,7,1,3,7,5,6,7,1,5,7,7,7,7,7,2,5,7,1,3,3,7,3,4,5,6,7,6,4,7,5,3,6,7
5,8,6,1,4,1,8,2,5,8,3,7,7,8,8,7,7,2,2,4,8,4,6,8,5,1,2,8,3,7,8,3,7,8,3,1,8,8,8,8,8,1,6,8,4,3,1,8,4,1,1,7,8,7,1,8,7,3,7,8
3,9,7,2,3,4,9,3,7,9,1,8,8,9,9,8,8,1,2,1,9,2,5,9,4,1,1,9,1,8,9,5,6,9,3,5,9,9,9,8,8,2,3,4,3,1,4,9,5,2,1,8,9,8,2,9,6,3,2,9
5,3,8,3,2,1,9,5,5,10,5,9,9,10,10,9,9,5,6,3,10,5,7,10,1,5,3,10,3,9,10,1,3,10,5,6,10,10,10,9,9,2,1,9,5,5,1,10,5,3,1,9,10,9,5,7,8,3,8,10
5,2,9,5,3,1,10,5,8,11,1,5,6,11,11,10,10,3,1,2,11,1,8,11,3,5,5,11,1,2,1,2,8,11,1,1,10,9,9,10,10,5,2,10,1,5,3,11,3,4,3,10,11,10,4,6,9,2,1,11
5,3,10,5,3,4,11,5,9,12,4,3,10,12,12,11,11,2,5,1,12,1,1,12,6,2,3,12,1,6,11,5,9,12,5,1,2,11,11,11,11,4,7,11,3,4,4,12,6,1,2,11,3,11,3,8,10,2,4,12
4,5,11,2,2,1,12,5,10,13,3,10,11,13,13,12,12,2,1,2,2,4,3,13,1,2,4,12,1,10,12,1,1,13,1,2,7,12,12,12,12,4,1,7,6,3,1,13,6,5,5,12,12,12,1,8,11,2,8,13
3,10,12,6,2,5,13,3,11,14,1,7,12,14,14,13,13,5,4,4,13,2,9,14,5,6,4,13,2,2,2,2,10,14,4,3,11,12,12,13,13,4,8,12,3,5,5,14,1,2,5,13,13,13,2,10,12,4,9,7
1,7,13,6,4,1,14,1,6,15,3,11,13,15,15,14,7,3,4,4,14,2,4,4,2,1,2,5,2,11,10,5,9,15,1,7,8,8,8,14,14,1,9,13,3,4,3,6,5,4,4,14,14,14,2,4,13,1,10,14
3,5,14,1,3,3,15,4,12,16,2,6,5,16,16,12,12,6,5,3,15,1,2,15,5,3,4,14,4,6,13,5,6,16,4,1,1,13,13,15,15,2,8,6,3,2,4,15,2,6,4,15,15,15,2,11,14,5,11,15
4,2,10,4,1,3,16,5,4,4,2,12,14,10,10,15,14,6,3,1,16,4,10,16,4,1,5,15,1,12,12,3,3,3,3,8,12,14,14,16,16,5,2,10,5,3,2,16,1,2,5,10,8,12,3,4,15,1,10,16
4,6,15,5,4,3,7,4,7,17,4,11,15,17,17,16,4,5,6,5,17,3,11,17,4,5,2,16,1,12,14,5,5,17,2,9,13,15,15,17,7,5,9,14,4,3,1,17,3,4,1,16,16,16,3,7,16,5,12,17
2,4,16,6,1,3,9,3,12,18,1,6,16,18,18,17,2,2,3,3,18,5,4,18,5,2,4,17,2,12,8,3,11,18,4,1,10,16,16,18,17,4,1,7,2,4,2,4,4,6,1,17,17,17,2,12,15,4,13,1
1,10,17,6,2,3,17,4,7,17,4,4,4,19,19,18,13,1,6,2,2,5,7,9,4,4,1,18,5,1,15,4,9,19,1,10,14,17,17,19,18,2,6,15,4,6,4,18,1,6,2,18,18,18,1,6,17,1,14,12
3,9,18,2,3,1,18,4,5,8,1,9,17,20,8,19,15,1,2,4,19,1,12,19,4,2,5,19,1,3,15,5,1,20,3,9,15,4,4,20,19,3,10,16,3,1,4,19,4,5,3,19,2,2,5,12,18,4,14,18
4,11,19,1,1,3,19,2,6,10,3,2,16,21,20,20,16,1,2,4,19,1,11,20,5,4,4,20,1,11,14,2,12,21,4,6,16,18,7,6,20,2,6,15,5,6,4,9,6,4,2,20,19,19,3,6,19,3,5,19
1,12,14,4,5,3,20,4,13,19,4,13,18,22,21,21,3,6,3,1,16,4,13,21,5,5,1,21,1,7,12,1,3,22,4,9,17,19,18,21,2,3,11,16,2,2,1,20,1,2,4,21,20,20,5,13,18,5,7,20
5,2,20,1,1,5,21,1,12,20,2,10,2,15,15,9,9,3,2,1,3,1,13,16,5,3,2,21,4,13,6,1,7,5,1,7,8,20,19,22,21,4,7,11,3,3,2,21,6,5,2,22,21,21,1,14,20,3,9,21
2,10,21,5,1,5,22,3,12,18,5,7,19,23,22,22,14,6,5,4,20,3,8,19,3,1,4,22,4,7,5,5,3,23,1,10,18,21,20,10,10,5,8,17,4,4,1,22,3,5,3,23,22,22,2,8,21,5,9,22
1,9,4,2,4,3,13,5,14,21,4,13,18,24,23,23,11,4,3,4,21,3,1,22,3,2,2,23,4,11,10,2,9,24,5,1,19,22,21,23,22,3,12,13,6,1,3,23,5,6,2,24,16,16,5,15,22,2,8,23
4,5,22,1,3,1,23,4,3,7,3,9,20,18,18,22,14,6,1,3,22,2,9,14,2,6,4,24,5,6,16,1,12,25,2,9,13,23,22,24,23,4,11,10,2,3,3,24,4,2,4,25,23,23,1,2,11,2,8,24
4,5,23,4,2,2,23,5,10,13,4,14,21,25,24,24,6,6,5,2,15,1,10,23,6,6,2,25,3,6,6,2,6,26,5,11,20,18,7,25,24,3,10,16,3,1,1,25,1,1,2,26,24,24,3,10,18,1,5,25
1,13,24,4,5,3,20,5,14,21,5,4,22,26,24,25,17,5,4,5,23,3,1,22,3,3,5,26,4,14,17,2,13,24,2,12,21,16,16,26,25,4,4,5,1,1,4,6,3,1,4,8,3,11,2,16,13,5,9,26
2,10,25,3,1,1,7,2,1,22,2,5,23,27,25,13,13,4,6,3,24,5,12,2,4,1,1,9,1,3,7,5,7,27,4,2,22,5,5,17,7,5,1,18,4,2,4,26,4,5,1,27,7,25,4,8,14,2,15,27
5,12,26,4,2,5,24,1,13,17,5,15,24,28,6,2,2,3,1,1,25,1,10,24,3,1,1,27,3,13,16,2,4,10,3,4,23,24,23,26,25,1,13,9,6,1,5,11,4,6,1,28,25,26,4,6,9,4,5,28
