1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,1,2,2
3,3,3,3,3,3,3,3,2,2,3
4,4,4,4,2,4,2,4,3,3,4
5,5,5,5,2,5,1,5,3,4,5
6,6,6,6,3,2,2,6,3,5,6
7,7,7,7,4,2,2,7,4,6,7
8,8,8,8,1,4,2,8,4,1,1
9,9,8,8,3,1,3,9,2,7,8
10,10,1,1,3,1,2,10,5,3,9
11,11,9,9,1,1,2,11,1,5,10
12,12,10,10,2,4,4,12,1,8,11
13,2,9,11,2,1,3,13,5,9,12
14,13,11,12,3,5,4,14,2,5,13
15,14,12,6,1,3,4,9,6,3,14
16,15,13,13,2,1,1,15,4,10,15
17,16,14,1,3,2,1,16,6,2,16
18,17,15,14,1,3,2,17,6,11,17
19,18,16,11,1,1,1,18,6,1,18
20,19,10,15,2,4,1,19,4,7,19
21,20,17,7,4,4,4,20,5,11,20
22,2,18,12,2,4,1,21,1,11,21
23,21,19,16,2,3,2,22,3,12,22
24,22,20,17,1,3,2,17,4,13,23
12,12,21,18,4,1,3,23,3,14,22
25,18,22,11,3,4,1,24,2,3,24
26,23,6,6,3,1,2,10,2,5,5
27,24,23,9,4,1,1,6,1,8,25
28,25,24,19,1,2,2,13,1,15,23
27,24,25,20,2,3,2,16,2,13,26
29,26,26,21,3,1,1,25,5,14,27
30,27,19,16,4,4,2,4,2,12,28
31,28,27,22,4,2,3,26,1,15,23
5,5,28,15,3,4,4,27,2,11,29
32,29,29,18,1,1,3,25,2,8,6
5,5,30,22,4,5,4,28,4,6,7
33,30,31,23,4,2,2,29,4,7,30
34,31,32,24,4,2,2,29,1,5,31
35,32,33,25,1,1,1,1,3,15,6
36,33,34,19,2,3,4,30,2,13,26
15,14,35,26,3,3,1,31,3,3,32
37,6,36,27,1,4,2,14,5,6,33
38,34,37,28,2,1,1,32,5,15,34
39,22,38,22,3,1,3,33,1,4,29
40,35,39,29,2,3,3,29,6,5,17
41,36,40,4,4,3,2,34,6,16,35
20,21,30,18,4,5,1,22,3,16,17
23,37,32,1,3,4,1,24,3,6,36
42,38,41,30,2,3,4,32,5,13,15
43,39,9,31,1,3,1,30,3,14,37
44,40,39,32,1,4,1,18,3,13,38
45,37,5,33,1,2,3,35,1,9,9
46,41,38,7,2,2,3,36,3,6,39
47,42,42,34,4,5,1,22,3,8,25
48,43,43,11,1,5,1,37,4,14,5
49,44,44,35,2,4,2,38,2,17,5
50,45,45,36,1,4,3,39,4,18,40
51,18,28,37,2,5,3,35,2,2,19
52,46,35,38,2,4,3,40,4,2,6
28,19,46,39,3,3,1,31,5,2,41
53,41,22,11,1,5,2,22,3,17,42
54,47,47,36,4,4,2,4,2,6,43
52,46,46,39,1,4,4,41,5,17,44
55,7,48,40,2,1,2,12,5,15,12
56,22,49,41,4,2,1,12,5,14,45
57,48,10,15,4,1,1,8,6,15,18
58,49,12,42,1,1,4,42,4,5,22
59,50,50,43,2,2,2,34,1,4,31
18,17,51,44,3,1,2,10,3,18,25
38,23,52,5,4,2,1,15,3,13,46
60,51,52,26,2,3,3,17,5,8,32
61,52,39,45,3,3,1,43,6,10,27
54,47,53,46,4,4,2,4,2,11,41
62,25,54,25,1,2,3,33,1,4,47
63,53,41,47,4,2,4,8,3,11,8
64,18,55,36,2,4,2,44,3,15,3
65,54,56,48,2,3,4,45,3,12,31
5,5,57,40,2,2,4,46,5,11,29
66,55,6,49,3,5,3,47,3,11,8
54,47,4,38,3,5,2,48,5,14,44
67,56,16,12,4,5,1,22,6,12,8
8,57,58,24,4,3,1,49,2,12,28
68,58,53,46,4,2,2,5,6,1,48
69,14,9,50,1,2,3,2,3,16,9
70,59,9,10,4,1,1,8,6,4,44
71,60,59,51,4,4,4,50,3,19,5
72,61,60,52,4,3,2,26,3,10,49
30,27,61,53,3,4,1,31,2,20,50
16,15,21,3,1,3,4,50,3,18,51
73,62,62,11,4,1,1,8,6,18,45
34,31,18,54,3,4,1,24,3,19,2
74,54,63,55,3,3,3,28,4,5,23
29,4,52,5,4,2,3,51,1,12,11
75,63,51,56,3,4,4,44,5,4,45
24,22,64,57,3,5,2,48,6,4,15
51,18,43,8,2,5,3,52,2,9,49
76,5,65,20,4,4,2,4,4,15,52
77,37,59,2,1,1,4,42,3,4,31
78,64,66,58,1,4,4,17,5,1,32
61,52,67,23,2,3,2,21,5,17,17
79,65,68,32,1,3,1,22,3,12,31
1,58,69,11,4,3,1,37,3,14,20
31,51,70,59,4,1,4,25,1,14,53
80,7,71,60,2,4,1,12,3,1,8
81,66,72,11,1,4,2,14,3,1,54
82,30,73,17,1,1,3,34,3,10,11
83,67,74,1,4,2,2,29,2,3,5
46,41,19,61,3,4,3,53,6,11,13
84,68,75,27,1,4,4,54,4,20,55
47,42,76,62,2,5,3,32,5,13,29
85,37,77,19,3,5,3,26,3,19,19
86,69,23,20,3,5,4,43,5,20,18
87,29,55,36,1,2,3,33,1,10,23
49,44,8,55,1,4,3,39,2,18,41
88,51,22,9,3,4,1,1,6,13,46
33,30,57,18,2,3,3,31,1,6,56
58,69,35,63,4,2,2,55,1,5,55
89,52,8,8,4,5,1,2,4,18,45
60,51,57,59,4,2,1,56,3,8,6
26,37,78,45,4,4,2,57,4,11,57
47,70,66,35,4,2,4,48,5,7,13
90,71,79,31,4,2,1,20,4,9,35
91,35,80,52,1,3,2,53,1,20,58
42,38,81,37,1,3,2,17,5,3,59
92,36,82,64,4,4,1,32,5,12,2
10,10,38,49,1,5,2,50,4,11,40
93,72,83,59,4,2,4,13,5,14,44
24,22,84,34,3,3,4,37,1,14,39
94,32,85,65,4,1,3,53,5,11,30
77,37,51,59,2,2,1,57,2,19,14
95,69,37,16,1,4,1,58,4,4,60
28,7,86,41,3,4,1,36,2,14,27
96,73,48,7,1,2,4,59,4,5,22
42,38,87,66,2,2,2,51,3,20,61
97,74,88,15,4,4,3,60,4,7,55
48,75,89,35,3,5,4,37,3,3,60
98,59,20,60,4,3,3,31,1,2,60
57,48,33,67,2,3,1,37,6,9,9
99,72,73,17,3,5,2,61,3,16,12
25,18,73,41,4,5,4,8,3,13,54
7,7,36,68,4,1,1,8,3,6,5
100,56,36,15,1,3,1,62,1,3,8
5,5,90,15,2,2,1,47,2,16,28
101,76,37,26,3,3,4,22,5,3,2
3,3,57,27,3,5,1,10,3,8,50
102,34,62,17,4,4,2,57,6,14,41
93,72,16,69,1,3,4,50,4,15,52
61,52,43,70,2,5,2,18,5,1,48
84,68,37,43,2,3,2,16,5,5,40
75,63,82,71,1,3,4,50,5,20,62
103,77,8,8,4,1,4,25,3,3,14
104,78,58,72,1,4,3,39,4,18,63
61,52,55,36,2,1,2,12,2,3,24
72,61,39,7,2,3,4,23,3,4,54
105,7,53,46,3,2,4,44,6,19,18
106,79,74,1,1,3,4,50,1,14,36
19,80,23,23,2,1,3,13,4,19,64
107,81,91,73,1,1,4,23,6,16,9
7,7,81,45,3,1,4,63,6,16,39
37,6,40,61,2,1,1,48,5,17,6
97,48,50,57,4,2,1,28,1,15,23
108,82,31,62,4,5,2,7,1,7,8
49,37,92,47,1,3,2,17,3,17,15
108,82,93,49,1,5,1,62,6,5,17
4,4,94,12,3,2,3,6,3,13,46
109,78,95,74,4,1,3,24,4,14,6
31,28,72,11,4,4,3,19,2,3,24
8,8,20,45,3,1,1,11,4,2,17
110,29,96,45,2,3,3,29,6,11,19
72,61,10,7,2,1,4,64,1,9,27
63,46,97,60,2,2,1,51,2,15,65
105,18,6,6,3,4,3,42,3,14,22
24,22,98,16,1,3,4,50,6,1,34
54,47,85,65,1,3,2,17,2,19,42
44,11,73,17,1,1,3,34,2,19,34
90,71,6,6,2,3,1,5,4,9,62
105,18,99,51,4,4,2,4,3,20,27
49,37,100,47,1,1,3,34,2,3,66
69,14,26,21,4,5,2,38,5,6,1
81,66,101,16,2,1,4,18,6,18,8
111,17,54,25,3,1,2,10,6,13,28
112,83,71,75,1,3,3,55,2,4,38
65,54,70,42,3,1,3,33,4,8,64
106,84,97,38,2,1,4,3,3,8,18
96,73,52,76,3,4,1,24,4,7,30
26,23,102,77,3,5,2,50,4,8,45
106,48,66,78,1,3,3,62,3,17,5
113,70,103,38,2,4,2,4,5,17,12
4,85,104,79,3,1,2,10,4,9,56
34,31,28,27,1,4,1,6,2,17,59
81,66,66,62,3,3,1,31,2,1,65
33,30,41,14,4,1,4,25,2,10,55
73,62,80,45,1,1,3,34,6,7,8
23,37,65,45,4,3,1,49,6,15,3
114,18,18,80,4,3,4,38,4,6,37
28,19,84,12,2,4,3,22,1,11,61
76,5,105,21,4,1,2,38,5,13,29
115,42,11,9,1,2,3,33,3,12,50
58,69,86,41,2,4,4,12,6,10,49
28,19,82,32,3,1,1,8,6,20,32
116,53,12,6,4,4,2,31,2,8,24
95,69,106,81,2,4,1,21,6,4,60
94,32,100,47,1,1,1,1,4,14,24
74,54,80,45,3,5,2,55,5,18,20
117,76,107,7,4,2,3,26,6,3,14
85,37,23,3,2,1,1,33,5,3,29
60,51,46,47,2,1,4,65,1,13,55
47,77,72,54,1,5,1,37,1,4,21
44,40,108,8,3,2,1,51,1,5,12
6,6,109,7,4,1,3,24,3,9,34
17,16,103,38,3,3,2,66,2,11,52
79,65,3,3,4,2,2,29,2,8,28
79,65,76,62,3,2,1,49,3,17,51
42,38,35,47,1,3,1,56,6,20,30
118,43,17,44,1,3,2,60,3,11,8
4,3,110,2,2,4,1,21,6,19,19
11,86,8,8,3,5,4,47,2,1,65
97,87,41,12,2,5,2,63,6,7,13
14,31,85,3,4,2,1,67,6,4,49
43,39,75,82,4,5,3,19,6,17,67
88,51,37,66,2,2,4,46,5,14,44
29,26,16,69,3,1,4,63,6,17,37
119,14,9,11,2,4,4,12,5,19,42
77,37,111,36,3,5,2,52,6,5,19
38,23,112,8,3,5,3,36,1,14,53
85,37,108,8,1,1,2,6,1,9,9
114,18,57,83,2,4,2,68,2,1,54
9,9,17,7,4,4,4,31,1,13,55
120,48,34,50,3,1,4,50,3,6,31
