1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,2,2,2,2,2,2,2,2,2,2
3,2,2,3,2,2,3,3,3,3,3,3,3
2,2,2,4,3,3,4,4,2,4,4,4,4
1,3,2,5,3,2,4,5,4,5,5,5,5
2,3,3,4,4,1,2,6,4,6,6,6,6
1,1,2,1,4,4,4,7,3,2,7,7,7
4,3,1,6,4,4,3,8,3,7,8,8,8
2,4,4,7,2,4,2,9,4,7,9,9,9
2,3,1,8,4,1,2,10,4,8,10,10,10
3,4,4,9,4,2,1,11,3,2,7,11,11
4,1,5,10,4,2,2,12,4,9,11,12,12
3,2,4,5,2,1,1,13,4,10,12,13,13
4,3,1,11,4,1,4,14,5,11,13,14,14
2,2,2,12,1,1,4,15,3,11,14,15,15
1,2,4,13,4,4,4,16,2,12,15,7,16
4,3,2,14,3,3,1,8,4,13,16,16,17
2,3,4,15,3,2,3,17,1,5,17,17,6
3,1,5,16,1,2,5,18,1,4,18,18,18
3,4,1,17,3,4,3,19,2,14,10,19,14
3,4,5,7,1,3,2,20,2,11,19,6,19
3,3,2,16,2,4,4,21,1,15,20,20,20
3,2,5,4,4,2,5,18,4,13,21,21,21
2,2,5,4,1,2,5,22,1,13,22,22,22
4,4,2,18,4,4,3,21,5,4,5,23,16
1,1,1,19,4,1,1,23,3,12,23,13,23
3,4,1,20,1,3,5,24,5,16,24,24,24
1,1,1,6,2,2,1,25,3,17,25,25,25
1,3,4,21,3,2,5,18,4,5,5,26,26
2,1,5,21,3,3,3,26,5,18,10,27,27
1,2,1,22,3,1,3,2,3,6,26,3,3
2,4,1,23,2,4,4,27,2,15,27,9,28
4,3,4,24,4,3,5,28,2,19,28,28,1
1,1,3,25,2,3,3,29,3,12,29,29,29
2,4,2,26,3,1,3,30,1,1,1,30,25
1,3,5,18,4,4,4,16,5,20,30,31,30
4,2,5,27,1,2,4,31,2,21,31,32,25
1,2,1,28,2,2,5,32,1,20,32,33,10
3,2,2,3,2,3,1,33,4,22,33,34,2
4,1,4,29,4,2,1,3,1,3,34,11,31
4,4,4,30,3,3,5,34,1,19,21,32,32
3,4,2,31,2,2,1,2,2,19,24,23,2
3,3,3,32,1,1,2,24,3,1,35,20,20
3,1,5,33,1,3,4,2,2,23,36,12,15
1,1,4,21,4,3,2,35,1,11,37,35,3
3,4,3,33,1,3,3,36,2,24,38,36,24
3,3,2,34,4,4,2,37,5,9,5,13,1
3,3,1,18,2,1,3,38,1,14,8,37,33
1,4,5,35,4,4,1,39,2,8,39,38,16
1,4,2,27,4,4,3,40,5,18,10,39,34
1,4,5,22,1,4,4,10,3,23,40,40,6
2,4,1,23,1,3,2,9,3,13,41,41,12
4,2,4,34,1,3,2,10,2,25,42,27,27
1,4,2,36,4,3,1,37,4,18,43,20,10
4,1,2,24,3,4,4,41,1,11,37,42,29
3,2,2,1,2,4,2,18,4,2,28,43,35
1,3,4,31,3,4,3,6,5,1,44,44,23
