1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,1,2,2,2,2,2,2,2,2,2
2,3,3,3,2,3,3,3,3,3,3,3,3,3
3,4,4,4,3,4,4,4,4,4,3,4,4,4
1,5,5,5,4,1,5,3,5,5,1,5,4,5
3,6,6,6,2,5,6,1,6,6,4,6,5,6
3,1,7,7,5,6,7,5,2,7,5,1,6,7
4,2,8,8,6,7,8,6,7,8,6,5,7,8
5,7,9,7,7,1,9,4,8,9,1,7,2,9
6,2,10,9,1,6,10,4,9,10,5,8,4,10
7,8,11,5,8,5,11,1,1,11,7,9,8,11
5,9,12,1,9,3,12,6,10,12,5,9,4,12
8,10,13,10,9,8,13,7,11,13,3,8,6,13
9,11,14,3,8,9,14,1,12,14,8,9,8,14
10,12,14,10,3,9,15,7,13,15,9,8,9,15
6,13,15,2,10,7,16,6,14,16,10,3,3,16
5,5,16,6,4,9,17,7,15,17,10,8,10,17
1,13,17,11,11,10,18,8,10,18,4,1,7,18
1,14,18,5,8,5,19,6,14,19,2,3,2,19
5,7,19,10,3,4,20,8,16,20,11,2,11,20
3,15,20,11,1,11,21,7,17,21,6,4,11,21
4,16,21,12,8,10,22,2,18,22,6,5,11,22
10,17,22,3,8,8,23,6,19,23,11,5,2,23
10,18,23,10,3,7,24,3,8,24,10,5,2,24
7,19,24,5,2,9,25,9,20,25,6,7,10,25
3,9,25,6,2,10,26,10,21,26,2,10,3,26
5,20,26,6,7,5,27,1,22,27,1,3,3,27
5,21,27,4,3,12,28,1,23,28,11,8,5,28
5,22,28,8,9,1,29,6,24,29,3,11,11,29
9,23,29,8,6,10,22,10,25,30,12,2,11,30
4,24,30,10,1,2,30,5,26,31,3,2,3,31
8,1,31,4,7,12,31,7,27,32,9,5,3,32
8,25,32,5,9,7,32,8,28,33,9,8,6,33
7,26,33,8,4,12,33,6,29,34,9,8,4,34
7,27,34,4,3,3,34,2,30,35,5,9,12,35
2,28,18,10,7,11,35,8,21,36,5,2,4,36
1,4,35,7,9,1,36,3,31,37,11,8,11,37
4,29,36,2,2,2,37,6,32,38,7,2,9,38
10,30,37,1,5,2,38,3,33,39,3,1,5,39
3,31,38,8,4,6,39,4,34,40,12,6,12,2
4,13,39,9,7,12,40,2,35,41,6,9,9,40
5,32,40,10,9,11,41,3,36,42,3,10,6,41
2,33,41,9,5,5,42,1,27,43,1,4,12,42
4,1,42,4,2,11,43,10,37,44,9,7,12,43
