1,1,1,1,1,1,1,1
2,2,2,2,2,1,2,2
3,3,3,3,3,2,3,3
4,4,4,4,4,3,4,4
5,5,5,1,5,4,5,5
6,6,6,5,6,5,6,6
7,7,7,6,7,2,7,7
8,8,8,7,8,6,8,8
9,9,9,8,9,7,9,9
10,10,10,9,10,8,10,10
11,11,11,10,11,9,11,11
12,12,12,11,12,10,12,11
13,13,13,12,13,11,13,12
14,14,14,4,14,12,14,13
15,10,15,13,15,13,15,14
16,15,16,14,8,14,16,12
4,4,17,15,16,15,17,15
17,16,18,16,17,4,18,16
18,17,19,17,18,16,19,17
19,18,20,18,19,17,20,18
6,6,21,19,20,18,21,16
20,19,22,20,21,19,10,10
2,2,23,21,22,20,22,19
11,11,24,22,23,21,23,20
21,20,25,19,24,22,24,13
22,21,26,9,25,23,24,7
8,8,27,23,26,18,25,14
23,22,28,11,25,14,26,21
24,23,29,15,27,24,1,1
25,24,30,24,28,25,27,22
26,25,31,25,29,26,28,23
27,26,17,15,9,27,29,24
28,27,32,26,22,28,30,11
29,28,33,27,30,29,31,25
30,29,34,28,31,30,32,17
31,30,35,29,32,31,33,26
32,31,36,13,33,32,34,27
33,14,32,26,2,1,11,11
34,32,37,30,34,33,35,28
35,33,38,17,35,2,36,29
36,34,39,31,36,34,37,30
37,31,40,24,37,35,38,31
38,13,41,32,38,36,39,11
25,24,22,20,39,37,40,32
24,23,8,7,40,15,41,9
23,22,15,13,15,38,42,33
39,35,42,8,41,39,19,31
40,36,27,23,42,40,39,11
41,37,8,7,43,41,43,34
34,32,43,1,2,28,44,35
42,38,44,33,44,42,7,7
5,5,45,3,45,43,45,36
43,39,42,8,46,38,43,34
44,40,43,1,47,44,46,14
45,41,46,11,48,40,47,36
46,11,40,24,49,45,28,12
47,41,47,34,50,46,48,37
48,40,48,35,49,45,37,30
49,42,4,4,24,22,49,4
50,43,49,23,19,47,36,29
51,44,50,36,51,48,50,38
52,45,51,20,52,49,51,39
7,7,8,7,53,50,11,40
53,3,40,24,54,51,19,41
54,46,52,37,29,32,52,42
55,47,3,3,50,52,53,43
16,15,53,38,55,53,36,29
1,1,54,39,56,54,54,44
56,18,55,39,57,21,55,45
57,48,56,40,58,39,56,46
58,49,25,17,9,43,57,47
59,42,57,7,59,55,35,28
60,41,19,17,60,56,38,31
61,10,35,29,61,57,58,48
19,50,42,8,62,57,45,49
44,40,58,2,4,3,59,50
5,5,59,41,17,4,60,8
55,47,45,3,63,4,61,28
43,39,34,28,35,2,62,39
32,31,60,8,64,58,20,18
4,4,11,10,65,59,63,51
62,39,61,42,66,60,31,15
63,33,51,20,18,16,21,33
13,13,62,43,42,40,11,11
64,5,30,24,29,32,64,52
65,51,63,44,67,40,65,25
3,3,49,23,4,61,33,52
64,5,38,17,68,62,32,50
66,23,24,22,48,42,31,15
41,37,22,20,69,63,56,53
67,10,33,27,65,64,66,8
34,32,64,45,70,8,67,54
3,3,65,46,21,19,68,25
68,52,66,47,71,65,69,55
69,44,67,44,18,60,18,16
70,53,68,48,53,66,70,56
60,41,45,3,9,45,47,36
71,34,18,16,72,67,5,57
72,54,58,49,73,68,58,48
73,20,69,1,13,11,71,24
5,5,29,15,6,69,72,58
74,55,70,50,74,70,73,59
51,44,71,51,75,67,19,41
75,28,72,22,25,71,61,28
76,30,8,7,76,42,74,47
12,12,5,1,77,72,75,60
21,20,4,4,8,73,15,61
77,17,73,52,23,43,49,62
34,32,46,11,47,74,69,48
33,14,74,53,78,46,66,8
45,41,50,36,77,75,76,63
78,38,21,19,3,2,77,64
79,56,75,23,56,7,78,24
48,40,8,7,50,22,79,40
20,19,32,26,53,74,80,65
48,40,42,8,61,76,11,33
80,57,76,54,3,45,81,18
67,10,77,55,79,77,82,48
81,58,3,3,80,78,74,47
73,20,33,27,67,40,75,19
17,16,18,16,81,79,83,33
77,24,52,37,43,41,84,44
75,28,22,20,44,80,82,66
82,59,78,56,18,81,85,67
26,25,79,57,9,82,51,39
83,15,51,20,32,65,1,1
84,2,80,58,82,68,86,68
39,35,81,59,83,72,87,69
85,60,80,58,43,41,61,28
86,61,45,3,8,73,88,8
56,18,73,52,5,4,89,37
87,51,60,8,9,7,90,70
88,49,5,1,74,70,24,13
89,62,75,23,13,8,80,65
90,44,82,8,84,15,91,27
91,33,43,1,51,48,92,71
14,14,83,60,56,7,18,16
43,39,84,61,85,83,93,72
92,33,85,62,47,84,34,27
93,63,86,20,17,85,94,73
94,50,87,19,86,47,62,39
64,5,88,63,32,86,55,45
81,17,5,1,87,87,2,36
90,44,89,39,88,88,35,19
47,41,49,23,4,3,69,9
42,38,25,19,86,89,58,48
31,30,48,35,89,52,95,12
95,64,90,64,46,43,36,74
12,26,91,65,65,2,44,35
35,33,92,38,80,8,3,3
9,9,59,41,90,90,96,75
25,24,93,66,91,39,9,64
74,55,29,15,92,71,61,28
96,12,94,67,74,91,82,4
40,36,95,68,93,8,72,76
5,5,96,69,52,68,97,77
66,23,76,54,94,39,54,44
43,39,48,35,57,79,98,44
1,1,43,1,33,92,36,29
21,20,55,39,95,61,99,59
35,33,6,5,12,58,100,20
67,10,59,41,96,87,91,59
97,30,28,11,51,93,65,12
98,65,51,20,97,56,30,11
99,14,5,1,98,61,44,35
83,15,50,36,99,94,59,78
50,43,56,40,64,58,93,23
100,12,21,19,11,95,77,64
4,4,64,45,42,40,47,36
19,50,27,23,10,81,78,24
23,22,54,39,100,58,63,79
65,51,5,1,101,96,60,8
20,19,97,70,102,54,93,72
19,50,62,43,74,70,101,80
87,51,98,71,103,97,17,47
101,34,8,7,104,98,102,42
37,31,52,37,71,99,54,44
101,34,49,23,9,27,103,35
102,8,21,19,18,64,104,81
103,66,99,16,84,31,87,82
104,25,100,72,105,86,105,83
102,8,55,39,85,83,6,6
31,30,69,1,65,100,106,50
26,25,34,28,35,101,21,84
82,59,83,60,53,14,75,19
45,41,101,41,11,102,67,43
92,33,30,18,21,19,75,19
102,8,102,73,59,103,107,77
23,22,103,74,18,16,78,24
105,63,85,64,91,104,2,36
106,17,45,3,93,48,36,29
107,67,104,75,81,105,108,51
65,51,82,8,98,32,25,14
22,21,82,8,14,12,64,31
27,26,8,7,58,56,22,85
67,10,105,76,15,52,46,14
84,2,44,33,10,81,88,8
36,34,106,77,23,21,85,86
23,22,78,56,43,41,62,87
96,12,58,49,45,2,91,27
27,26,93,66,103,97,106,50
108,68,18,16,106,51,60,8
61,10,23,21,87,106,33,26
40,36,82,8,107,91,24,13
102,8,67,44,108,107,1,1
73,20,96,69,94,39,105,83
10,10,6,5,79,77,77,64
62,39,5,1,109,71,51,39
109,32,49,23,3,2,38,31
16,15,107,33,88,108,49,4
34,32,108,71,64,58,55,45
53,3,109,78,34,84,64,31
110,69,110,79,30,29,109,88
111,70,111,80,32,109,10,10
112,54,98,71,95,32,46,14
112,54,44,33,39,37,101,40
103,66,16,14,55,38,3,3
113,23,112,81,12,58,1,1
105,63,113,57,110,110,30,11
66,23,101,41,44,56,110,45
58,49,88,63,40,70,5,89
108,68,5,1,18,16,91,17
90,44,71,51,53,26,52,90
40,36,21,19,19,47,52,42
114,71,71,51,50,22,78,24
89,62,33,27,111,28,100,91
2,2,112,81,31,10,65,25
48,40,111,80,112,65,30,11
24,23,18,16,34,84,104,29
80,57,114,29,18,22,60,8
115,72,115,42,94,39,13,12
116,73,116,82,22,6,104,29
70,53,1,1,28,27,111,47
9,9,112,81,35,60,47,36
25,24,74,53,113,98,39,92
10,10,112,81,4,3,44,35
98,13,67,44,114,65,84,44
65,51,35,29,69,3,50,47
108,68,100,72,81,21,27,22
69,44,40,24,114,65,82,92
70,53,13,12,70,96,89,93
111,70,21,19,85,83,39,11
105,63,49,23,88,83,89,22
96,12,8,7,65,72,67,44
117,33,77,55,57,44,63,51
35,33,117,68,18,95,112,77
110,69,59,41,9,111,34,62
64,5,12,11,115,70,113,14
2,2,58,49,116,60,96,75
55,47,12,78,77,3,50,47
118,74,105,76,25,22,14,6
119,2,70,50,16,15,114,74
98,13,57,7,93,8,115,12
108,68,98,71,1,72,109,94
35,33,75,17,16,15,114,95
20,64,118,41,85,83,98,44
30,29,61,42,62,100,101,80
35,33,28,11,117,11,52,42
110,69,119,78,21,112,50,12
59,75,120,53,16,15,60,8
101,34,74,53,41,33,15,14
89,62,64,45,98,113,103,35
3,3,99,16,62,108,116,69
44,40,9,8,12,7,56,2
108,68,14,4,118,7,80,96
118,74,40,24,90,110,86,68
120,48,67,44,15,38,117,97
88,49,58,49,79,77,69,67
33,14,121,83,119,15,52,42
98,13,21,19,120,98,75,19
25,24,47,34,13,11,52,72
34,32,119,78,108,107,104,29
34,32,23,21,42,114,91,27
26,25,103,74,48,30,79,40
29,28,45,3,108,107,28,23
91,33,62,43,70,96,44,77
121,30,122,84,101,96,31,15
25,24,22,20,72,115,118,9
109,32,115,42,58,23,104,29
18,17,54,39,99,116,100,16
42,38,17,15,65,64,119,36
75,28,72,22,110,83,45,49
29,28,52,37,3,2,120,98
49,42,123,18,28,27,57,47
122,69,119,78,78,52,54,44
19,50,124,65,11,95,3,38
19,50,19,71,38,25,37,30
35,33,30,24,121,108,68,25
42,38,8,7,3,2,89,22
60,41,30,24,9,117,115,12
41,37,35,29,86,73,112,12
101,34,18,16,115,61,93,99
44,40,14,4,64,58,11,11
55,47,21,47,96,88,63,56
98,13,69,1,122,57,59,100
57,48,125,61,21,74,121,60
79,56,100,72,29,118,50,47
98,65,112,81,30,29,104,29
3,3,74,53,65,64,99,59
67,10,126,22,90,119,121,60
123,72,116,82,114,65,56,79
115,72,4,4,13,11,22,101
96,12,85,62,52,94,122,102
70,53,37,30,10,72,3,3
112,54,90,64,17,4,45,49
44,40,52,37,53,80,23,20
123,72,37,30,60,7,72,103
124,18,94,67,5,4,41,9
94,50,50,36,101,120,61,28
40,36,52,37,104,109,123,3
37,31,47,34,28,27,62,104
20,19,40,60,123,94,86,68
125,28,63,44,70,23,94,23
126,48,73,52,52,94,35,20
25,24,94,67,73,68,15,14
32,31,3,3,6,69,18,16
7,7,118,41,124,37,101,19
100,12,33,27,36,105,22,101
70,53,11,10,89,49,2,36
44,40,121,83,93,8,65,25
34,32,24,22,88,9,18,24
