1,1,1,1,1,1,1,1,1,1
2,2,2,1,2,2,2,2,2,2
3,3,2,2,3,3,3,3,3,3
4,4,2,3,3,4,4,4,4,4
5,5,3,2,4,5,5,5,5,5
6,6,3,3,4,6,6,6,6,6
7,7,3,1,4,7,7,7,7,7
8,8,3,3,1,8,8,8,8,8
9,9,1,3,4,9,9,9,9,9
9,10,4,2,2,10,10,10,10,10
10,11,5,2,4,11,11,11,11,9
2,12,4,2,2,12,12,12,12,11
11,13,1,4,3,13,13,13,13,12
6,14,1,2,4,14,14,14,14,13
12,15,2,3,3,15,15,15,7,7
13,16,1,4,2,16,16,16,15,14
14,17,2,1,4,17,17,17,16,15
15,5,6,1,1,18,18,9,17,13
16,18,6,2,2,16,19,5,18,11
17,19,3,3,4,19,20,18,19,16
16,20,4,4,4,20,8,8,20,17
18,21,3,4,2,21,13,19,21,18
19,22,2,4,1,22,21,20,22,19
20,23,4,4,4,23,22,21,23,9
1,24,4,1,3,10,23,22,24,20
21,25,1,1,1,19,3,23,25,21
22,26,2,4,3,24,24,24,26,22
23,27,2,1,1,25,25,25,27,23
24,28,3,1,4,13,26,14,28,13
7,29,3,1,3,5,27,26,29,24
25,30,5,4,3,26,3,3,6,6
26,31,6,3,4,9,28,27,30,21
27,32,1,3,1,27,29,28,31,25
7,33,3,2,4,28,30,29,32,26
28,34,2,4,1,26,31,30,33,27
29,7,2,2,4,29,30,31,34,28
16,35,5,2,3,30,32,32,35,26
5,12,2,2,2,23,33,32,36,15
30,36,2,4,4,31,34,33,37,3
31,37,5,4,4,32,24,34,38,29
18,38,6,3,1,26,35,29,39,16
32,39,4,2,3,33,36,23,40,30
33,40,1,1,2,34,37,22,41,31
34,41,3,4,3,14,38,7,37,3
23,42,6,3,1,35,8,8,42,19
26,19,1,2,2,36,39,35,43,17
35,33,5,4,1,25,19,5,44,32
36,12,2,1,1,25,10,36,45,33
4,11,2,3,2,9,1,29,46,34
37,43,2,4,4,33,40,37,7,35
38,44,5,3,1,37,14,38,47,36
39,45,4,4,3,38,41,39,32,37
40,11,6,1,2,10,42,28,48,13
41,46,4,4,2,39,21,19,49,1
42,47,6,2,1,40,13,40,50,38
43,48,5,3,2,41,43,34,51,39
38,49,2,4,4,38,44,22,45,40
12,50,1,4,4,42,28,27,52,5
8,51,4,4,1,43,45,16,40,38
44,13,1,2,3,44,46,41,20,17
45,52,1,1,1,4,47,9,53,39
46,53,6,2,1,45,48,35,54,41
6,54,1,3,3,27,22,21,40,42
47,35,6,2,3,46,49,42,34,43
48,1,6,2,4,18,44,31,14,1
49,3,2,4,3,47,33,32,50,38
48,12,3,3,2,9,50,39,50,38
41,17,2,4,1,48,51,2,55,2
22,55,1,3,3,6,52,20,56,44
50,56,2,2,3,3,29,43,57,21
51,35,2,3,4,49,25,13,26,45
52,57,6,1,4,5,53,22,58,46
47,31,3,3,1,30,54,25,59,47
51,58,2,1,1,25,17,42,35,26
51,59,4,1,3,20,54,1,60,48
33,60,6,1,2,50,50,6,34,43
53,52,1,2,3,37,32,1,18,11
27,55,3,3,4,6,27,26,33,8
54,61,1,1,2,51,55,39,28,1
45,62,1,3,2,52,56,3,61,49
55,63,3,3,1,30,5,17,62,46
56,36,2,2,2,40,57,44,33,28
49,52,1,4,2,53,33,32,63,23
20,61,6,3,1,9,58,43,37,3
8,54,1,4,3,1,12,45,64,6
53,64,2,1,4,54,37,46,4,32
57,65,1,4,3,32,17,17,62,50
58,60,4,1,4,8,59,6,65,2
59,36,5,3,2,55,34,26,23,9
26,13,4,3,1,42,60,7,58,7
14,66,3,1,1,56,20,18,1,42
59,67,2,1,3,57,61,47,66,38
10,68,4,2,4,35,51,45,67,51
60,69,6,1,4,58,32,48,49,29
4,70,5,1,4,59,62,29,68,52
61,48,4,3,3,58,17,17,69,27
8,39,3,2,2,60,60,49,34,53
62,53,3,2,4,40,39,35,70,54
47,42,1,2,1,19,17,17,62,23
34,65,2,3,4,61,50,48,34,43
56,61,1,4,4,19,51,34,44,55
10,71,5,4,2,22,63,50,71,56
63,59,2,2,3,50,64,51,72,38
51,70,1,2,1,45,65,52,34,57
6,72,6,1,3,33,66,17,73,58
64,36,3,4,2,62,67,53,74,5
29,73,5,2,2,63,68,25,55,59
48,20,2,1,4,64,69,50,75,34
19,74,1,2,1,32,16,6,76,50
65,18,1,2,1,65,9,50,77,60
66,75,1,4,2,57,56,45,41,48
25,70,2,2,3,66,53,54,78,60
67,76,2,4,2,67,70,44,79,2
68,77,5,3,2,7,12,4,65,61
69,78,4,2,2,17,20,18,80,3
54,47,5,3,1,49,71,46,22,62
55,62,4,2,3,68,72,9,81,3
70,79,4,3,2,69,73,52,70,63
10,74,4,4,2,23,51,55,57,20
14,44,4,1,2,36,74,33,81,59
71,58,6,1,1,6,75,56,38,7
45,80,4,3,2,39,76,22,43,12
71,81,2,3,4,70,33,32,82,19
66,50,3,2,4,71,21,20,54,55
59,16,5,3,4,72,77,25,16,13
34,64,4,3,4,73,78,28,39,42
33,75,4,3,4,74,11,11,83,9
72,30,4,1,4,59,79,57,84,44
40,17,5,4,2,43,55,8,59,47
73,48,4,4,2,12,51,34,85,33
74,82,5,4,3,75,56,12,3,38
56,70,5,2,1,37,25,7,86,64
75,16,3,2,2,30,47,9,41,48
56,83,2,1,2,26,8,8,38,7
76,17,5,1,1,76,48,47,87,37
56,45,5,2,4,12,46,58,35,54
77,7,5,1,4,47,80,37,23,28
78,40,3,3,2,5,81,29,71,22
79,84,2,4,1,10,56,50,15,14
67,8,1,4,1,69,31,30,24,38
8,85,4,4,4,35,14,14,14,65
9,86,2,4,1,76,33,12,15,2
80,87,6,3,2,12,66,17,24,18
14,88,5,4,4,53,82,15,83,38
67,23,4,3,4,74,17,17,88,34
19,89,2,1,2,56,6,1,60,56
80,90,1,4,3,32,83,7,51,61
81,91,1,1,1,77,84,59,15,2
66,12,2,3,1,78,58,40,9,35
82,92,4,1,3,58,27,26,89,40
83,58,4,1,2,72,85,60,42,66
26,93,1,1,4,5,34,49,62,50
8,94,2,2,2,32,86,46,56,18
35,53,3,3,4,46,87,47,90,67
52,95,4,2,4,39,21,20,86,5
84,77,3,1,2,23,88,61,91,68
3,74,4,2,2,1,25,13,92,69
63,50,3,4,4,53,21,20,16,70
49,2,3,4,2,28,26,62,26,22
71,58,3,1,3,20,89,63,93,53
27,44,1,4,4,42,9,6,59,63
71,43,6,1,2,30,20,16,26,22
33,74,3,2,1,42,90,64,24,31
28,56,6,3,4,45,87,47,46,45
19,96,4,2,3,26,91,25,94,58
85,63,5,3,2,21,6,65,37,71
86,92,1,4,4,42,71,46,57,20
28,62,6,4,3,46,92,41,21,52
86,81,3,3,1,7,24,24,29,13
19,53,3,4,4,5,61,57,39,67
87,6,1,2,3,51,13,42,19,56
86,97,6,1,2,17,93,29,95,33
69,12,4,4,1,12,82,15,21,18
10,14,2,4,4,70,24,8,70,63
36,98,2,3,4,24,76,66,18,16
88,79,1,4,4,42,35,29,42,66
89,6,5,4,3,55,46,63,72,24
50,1,3,4,2,73,6,43,96,60
64,12,4,1,1,10,63,63,64,47
6,99,3,1,2,74,15,62,97,32
90,62,4,4,2,42,74,50,92,36
91,5,1,3,1,79,9,9,57,20
10,88,2,4,2,63,42,56,57,20
7,29,3,3,1,12,94,56,98,72
46,91,5,3,1,67,34,34,55,28
29,55,2,3,3,80,5,17,97,66
62,7,4,1,3,18,41,67,45,71
1,51,2,3,2,81,3,66,80,49
57,77,3,1,4,13,16,16,26,22
29,51,1,4,1,60,1,42,45,71
11,14,2,3,1,41,8,63,99,56
48,1,1,3,4,22,29,53,100,9
11,58,1,2,1,81,58,40,42,66
70,60,2,3,1,8,95,7,100,24
72,20,6,2,1,45,43,34,25,50
42,32,6,3,2,82,39,35,80,62
92,19,1,4,1,29,96,2,19,4
3,90,3,2,4,56,19,68,46,54
75,63,2,3,1,12,97,69,93,49
62,7,3,3,1,10,24,24,99,6
33,82,3,2,4,61,68,15,67,51
93,24,2,3,1,69,63,50,40,5
60,100,5,3,4,83,81,29,100,46
22,37,1,3,4,81,21,19,33,50
48,23,5,1,1,84,2,33,38,7
90,54,3,3,3,9,8,8,89,40
86,84,6,1,3,67,17,34,28,48
49,101,6,2,2,49,80,6,33,73
85,31,2,4,3,3,98,24,101,43
94,49,6,2,4,71,13,42,91,64
35,102,3,2,3,5,47,9,92,44
95,103,5,2,3,1,72,28,71,43
26,104,6,1,2,71,46,65,19,56
92,31,5,4,2,76,16,16,54,10
58,91,6,1,2,24,59,6,102,6
19,91,6,2,4,42,19,5,11,7
54,63,6,1,4,51,25,45,42,5
47,48,6,3,3,25,99,60,103,8
81,99,6,3,4,5,53,25,41,71
71,25,2,1,4,54,97,9,16,4
42,47,4,1,2,32,80,56,69,35
96,65,3,2,1,57,11,11,91,61
97,44,6,1,4,58,98,49,73,33
98,105,5,3,4,85,98,70,32,19
39,8,3,1,1,43,43,1,11,24
41,58,4,2,4,43,36,25,25,3
92,104,4,3,3,23,51,54,20,57
19,14,6,3,1,86,57,44,11,12
43,5,3,1,1,14,72,28,81,59
33,89,2,3,2,69,35,3,55,28
46,106,6,2,1,66,98,61,76,50
79,60,4,4,4,56,62,71,23,9
37,58,6,4,1,46,9,56,104,5
99,45,2,1,4,40,70,72,23,16
56,44,2,2,2,49,68,25,47,36
78,104,2,3,3,85,86,11,7,7
42,60,3,3,1,14,2,33,1,47
95,63,4,2,3,33,100,69,88,1
16,21,4,2,1,45,101,3,84,31
44,76,2,1,1,29,21,20,105,30
66,19,2,2,4,12,102,69,33,50
97,86,2,1,2,49,83,25,52,12
8,50,4,4,3,39,1,2,65,25
4,21,2,3,3,31,64,26,62,50
100,56,3,3,4,9,23,7,27,57
84,53,5,4,2,6,87,4,93,20
36,107,5,2,1,64,103,16,54,60
28,69,1,3,2,51,37,73,51,59
72,50,2,1,1,39,104,74,104,9
15,89,5,1,3,29,10,10,49,23
81,50,1,1,1,79,23,7,55,44
96,15,2,3,4,47,20,18,12,19
101,12,3,4,2,28,30,31,15,71
32,42,5,1,2,47,54,44,63,13
21,22,5,4,4,53,48,5,100,7
29,104,4,4,1,68,29,43,3,50
47,34,1,2,4,13,60,23,33,73
91,11,3,1,1,87,104,22,83,11
44,108,4,1,3,23,56,50,106,28
43,86,6,4,2,19,105,66,103,8
64,77,2,2,2,40,87,47,12,6
102,87,6,4,1,23,55,70,55,28
40,85,2,4,2,61,32,36,26,22
98,109,6,1,1,36,78,49,73,7
10,75,5,1,3,72,20,18,11,10
9,70,4,2,1,17,82,64,44,72
3,108,1,3,2,80,61,2,69,12
17,9,5,4,1,12,72,28,89,40
85,87,1,2,1,67,1,26,107,52
1,1,4,4,2,56,25,13,108,3
54,74,3,4,1,54,47,23,83,30
77,7,5,3,2,61,58,40,32,26
38,64,5,2,4,70,106,58,35,60
2,7,5,4,1,86,72,41,103,57
80,27,1,2,3,21,105,73,100,9
103,21,2,4,3,36,51,54,64,6
44,14,4,1,1,77,32,36,109,64
91,60,5,1,1,41,75,1,104,9
27,84,4,3,4,13,87,47,32,26
59,58,4,3,3,18,76,22,19,7
49,91,4,3,4,56,64,67,96,60
34,101,4,4,2,45,37,70,41,22
38,94,4,3,4,88,15,62,21,19
80,49,1,2,2,39,53,25,110,45
22,80,5,4,3,34,2,33,70,63
57,84,6,4,3,30,78,49,111,38
44,107,3,1,4,36,63,50,9,72
70,25,2,1,1,87,74,68,112,60
51,45,3,3,2,59,17,21,74,25
83,18,2,3,4,49,76,22,113,34
98,68,5,2,1,69,35,1,27,64
60,73,2,3,4,61,73,53,62,50
77,83,1,2,2,77,85,19,102,13
29,13,4,2,1,41,88,3,85,33
104,12,4,2,4,12,107,34,104,9
77,7,4,1,3,42,100,69,33,48
40,50,3,4,2,89,107,55,18,11
89,72,1,2,1,68,67,15,79,14
64,50,6,3,4,45,23,7,99,38
37,59,4,4,3,80,93,15,59,53
87,10,3,2,2,60,103,69,51,39
105,102,6,4,2,87,20,18,112,17
44,110,1,4,1,37,65,75,114,72
66,7,4,2,1,83,8,62,115,3
25,12,1,4,2,58,47,9,66,40
62,100,3,3,1,70,18,55,13,12
9,79,1,1,4,10,26,14,28,60
72,30,6,4,3,33,57,44,113,56
90,108,5,4,2,45,36,10,5,29
7,41,2,2,2,40,67,53,53,39
98,111,4,1,3,12,37,73,54,40
41,18,6,1,1,63,39,23,68,49
98,24,6,1,2,73,89,63,73,58
37,40,1,4,4,26,108,10,76,25
38,64,1,1,2,15,108,10,51,33
40,101,4,2,3,71,34,49,110,27
57,93,5,4,2,72,60,8,10,15
3,83,3,4,3,23,66,17,115,58
41,110,2,2,2,48,45,16,55,38
16,64,2,4,1,26,108,10,1,27
