1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,1,2,2
3,3,3,3,3,3,3,3,3,3,2,3,3
4,4,4,4,4,4,4,4,4,4,3,1,4
5,5,5,5,5,2,5,5,5,5,4,4,5
6,6,6,5,6,5,6,6,6,6,1,5,6
7,7,7,6,7,5,7,7,7,7,5,5,7
8,8,7,7,8,2,2,7,8,7,2,6,8
9,9,5,8,9,6,7,5,9,3,1,6,9
5,5,3,9,10,7,8,4,10,7,2,2,10
10,10,1,10,11,4,8,7,11,8,6,1,11
11,11,8,11,12,5,6,7,12,5,4,7,12
12,12,2,12,13,3,9,8,13,3,4,4,13
13,13,1,13,14,4,10,1,14,2,6,4,14
14,14,9,14,15,6,3,8,15,1,5,3,15
15,15,6,15,16,7,3,6,16,6,7,3,16
16,16,3,16,17,8,1,4,17,3,8,4,17
17,17,6,17,18,9,9,8,18,3,9,4,18
18,18,10,18,19,5,3,8,19,3,9,3,19
19,19,9,19,20,5,4,9,20,9,3,8,20
20,20,2,20,21,8,8,3,10,10,7,9,21
21,21,1,21,22,10,1,10,21,3,10,7,22
22,22,3,22,23,10,6,4,22,9,3,10,19
23,23,3,23,24,4,8,8,23,11,6,6,23
24,24,6,24,25,8,5,1,24,3,4,1,24
25,25,11,6,26,1,4,8,25,9,6,7,25
26,26,3,25,27,5,1,6,26,3,1,7,26
27,27,10,25,28,11,6,10,27,11,9,3,27
28,28,10,18,19,7,6,7,28,7,6,9,28
29,29,1,26,29,3,9,10,29,3,2,8,29
30,30,8,2,30,2,7,10,30,6,9,11,30
31,31,7,27,31,8,8,3,10,3,9,7,31
32,32,5,28,32,11,2,11,31,9,3,4,32
33,33,2,17,33,3,2,10,32,8,2,11,33
34,34,8,29,34,8,10,2,33,12,10,9,34
35,35,1,19,35,7,8,2,34,8,9,4,35
36,36,5,30,36,2,1,1,35,1,5,1,36
37,37,7,31,18,10,1,1,36,2,4,9,37
38,38,10,32,29,3,6,1,37,3,7,8,38
39,39,6,33,37,4,5,4,38,5,5,1,39
40,40,1,18,38,1,8,3,39,2,6,3,40
41,41,10,34,39,8,9,10,40,8,5,10,41
42,42,2,10,40,10,3,6,41,12,3,6,42
43,43,1,35,41,10,2,4,42,4,4,1,43
44,44,3,36,34,2,3,3,43,2,2,6,44
45,45,10,37,42,6,6,4,44,6,10,6,45
46,46,9,13,43,3,3,6,45,11,4,9,46
47,47,8,38,44,12,7,10,46,9,1,6,47
48,48,4,39,45,6,10,10,47,11,1,6,48
49,49,9,40,46,9,10,4,48,12,1,8,49
50,50,3,41,47,8,3,3,49,11,10,7,50
51,51,5,42,48,10,8,7,50,11,5,6,51
52,52,8,43,49,10,9,5,51,1,8,7,52
53,26,6,2,50,6,5,6,52,4,1,4,53
54,53,6,44,51,7,10,3,53,9,5,7,23
55,54,8,29,52,12,7,3,54,6,6,5,54
56,55,3,45,53,2,1,9,55,6,9,8,55
36,36,6,5,6,11,8,6,56,7,6,9,28
57,56,3,20,44,10,6,5,57,10,8,4,23
58,57,1,12,54,4,10,8,58,7,5,7,13
59,58,1,46,55,5,9,5,59,8,10,4,56
60,59,7,47,56,7,10,6,60,7,7,9,57
61,60,10,24,57,12,6,5,49,9,1,4,58
62,61,7,48,58,2,3,8,61,5,3,5,59
63,62,11,49,59,8,4,11,62,6,7,2,60
64,63,3,50,60,5,7,2,63,8,3,3,61
65,64,6,44,61,6,5,2,64,10,1,11,62
66,65,4,51,62,5,5,8,65,2,6,1,63
67,66,5,52,63,3,2,1,66,8,3,2,64
68,67,5,8,9,9,7,9,67,2,7,7,65
69,68,4,53,64,11,9,3,68,12,8,4,66
70,69,3,54,65,7,4,1,69,7,2,6,8
71,70,10,37,42,1,10,7,70,2,4,11,67
72,71,8,55,66,11,7,10,71,2,4,7,68
73,72,11,9,67,9,6,7,72,11,7,2,69
74,73,5,10,68,3,6,5,73,10,10,3,70
75,74,9,2,69,4,6,10,74,11,4,5,71
76,75,2,56,70,3,5,3,45,7,1,1,72
77,76,9,31,71,11,6,5,75,9,10,11,73
