1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2
1,3,3,1,3,3,3,3,3,3,3,3
3,4,4,3,4,4,4,4,4,4,4,4
4,5,5,1,5,5,3,5,5,1,5,5
1,5,6,4,4,6,5,6,6,5,6,6
5,6,7,3,3,7,6,7,7,6,7,7
6,7,8,4,6,8,7,8,8,7,8,8
3,8,9,5,7,9,8,9,9,8,7,9
3,9,10,6,8,10,7,10,10,9,9,10
4,10,11,5,9,11,9,11,11,1,10,11
7,11,12,3,10,12,9,12,12,10,5,12
7,12,13,7,11,13,4,13,13,8,11,13
6,13,14,1,4,14,7,14,14,5,12,14
8,13,15,5,11,15,6,15,15,1,10,15
2,14,16,8,12,16,6,16,16,5,13,16
1,15,17,1,13,17,2,17,17,1,14,17
9,15,18,7,14,18,6,18,18,6,15,18
9,16,19,1,15,19,2,19,19,11,16,19
4,17,20,4,16,20,1,12,20,1,17,20
3,18,21,9,17,21,8,20,21,8,18,21
8,19,22,10,18,22,5,21,22,3,19,22
9,20,23,2,19,23,6,22,23,2,20,23
6,5,24,4,20,24,10,23,24,2,21,24
10,21,25,11,21,25,3,24,25,4,22,25
11,22,26,11,22,26,5,25,26,6,23,26
6,19,27,11,23,27,2,26,27,10,24,27
3,23,28,4,19,28,6,27,28,1,25,28
4,24,29,6,24,29,5,28,29,10,26,29
4,25,30,8,25,30,10,29,30,2,27,10
9,14,31,9,26,31,8,5,31,10,28,30
1,26,32,2,15,32,4,30,32,5,29,31
5,27,33,7,27,33,5,31,33,11,18,32
1,28,34,8,28,34,9,19,34,5,15,33
6,6,35,1,29,35,5,32,35,2,30,34
4,29,36,11,30,36,4,33,36,5,14,35
11,25,37,1,31,37,11,13,37,5,31,36
4,30,38,11,32,38,11,30,38,9,32,37
11,31,39,9,33,39,10,25,39,6,19,38
10,32,40,6,34,40,4,34,40,6,33,39
8,33,41,8,35,41,6,35,41,5,34,40
1,34,42,1,36,33,6,36,42,7,35,41
2,35,43,6,29,42,3,6,43,2,26,42
9,36,44,10,25,43,3,1,44,10,36,43
7,1,45,1,2,44,8,2,45,8,37,44
2,14,46,11,24,45,7,37,46,8,24,45
3,28,47,1,37,46,2,38,47,2,19,46
7,15,48,6,4,47,10,4,48,7,12,47
5,34,49,5,38,48,4,39,49,7,11,48
9,37,50,10,39,49,5,40,50,5,38,49
6,38,51,1,27,50,6,41,51,7,39,50
7,39,52,1,40,51,4,38,52,8,4,51
5,32,53,2,7,18,9,42,53,1,26,52
11,28,54,4,41,52,5,22,54,4,40,53
7,40,55,6,31,53,4,16,55,5,18,54
8,41,56,2,41,43,6,28,56,10,41,55
6,19,57,6,42,54,11,43,57,9,42,56
8,42,58,10,43,55,9,44,58,3,43,57
9,43,59,6,44,56,10,45,59,4,44,58
8,12,60,1,45,57,3,3,60,9,45,59
10,44,61,3,42,58,7,46,61,10,46,60
1,15,62,11,46,59,7,47,62,9,5,61
7,28,63,7,47,60,5,48,63,6,47,62
1,22,30,7,18,52,7,49,64,11,48,63
11,45,64,2,48,61,9,50,65,5,15,33
7,30,65,6,40,62,2,40,66,2,49,64
11,46,66,1,26,63,1,51,67,10,47,65
9,47,67,2,40,64,8,14,31,1,50,66
2,16,68,3,40,65,1,33,68,11,50,67
9,48,69,9,16,66,9,14,69,2,51,68
2,8,70,2,16,67,1,52,70,1,6,59
4,49,71,2,18,68,1,53,71,1,44,69
10,50,72,8,49,69,9,9,72,5,52,70
2,51,73,8,48,70,10,43,73,6,25,71
