1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,1,2,1,2,2,2
3,3,2,3,3,3,2,1,2,3,2,3,3,3
4,4,1,4,1,4,3,3,3,4,3,3,2,4
5,1,3,3,4,5,3,3,1,5,1,2,1,5
6,5,3,4,2,6,3,3,3,6,2,3,1,6
7,4,4,2,1,7,2,2,3,7,1,2,1,7
2,6,2,3,3,8,1,3,1,6,2,1,3,8
8,3,2,2,1,5,3,3,3,8,1,3,1,4
9,7,2,3,1,9,2,3,2,2,2,3,4,9
10,8,2,3,2,8,4,2,4,4,3,1,2,10
6,5,1,1,2,10,1,1,1,1,1,4,2,11
11,9,2,2,1,11,1,4,1,9,2,2,1,12
12,10,1,1,4,12,2,1,3,3,4,4,3,13
13,7,3,1,4,13,1,1,4,10,1,1,1,14
14,11,3,1,2,14,1,1,3,8,4,1,4,15
15,12,1,1,3,15,3,2,3,11,3,4,2,13
16,13,4,3,2,16,3,3,3,12,2,4,3,7
15,14,2,2,4,17,4,3,4,7,2,4,3,16
17,15,3,4,4,18,4,2,1,4,1,2,1,7
18,2,1,2,1,19,3,4,1,4,3,3,3,11
19,16,4,3,3,4,1,4,2,13,1,1,4,11
20,8,4,3,1,20,1,2,4,11,4,4,4,7
21,11,2,4,4,21,1,3,3,6,3,4,2,17
22,17,2,1,4,22,3,3,3,14,3,3,3,18
23,13,4,2,3,23,4,4,2,15,3,1,3,19
24,18,3,3,2,24,2,2,3,16,2,1,4,20
25,19,4,3,2,25,2,2,3,17,1,2,1,21
26,20,1,3,4,26,2,2,2,18,3,3,4,22
27,1,2,2,3,18,1,1,1,1,1,4,3,22
26,20,1,3,1,27,2,2,3,17,2,1,1,22
28,21,4,2,4,28,4,3,3,19,3,2,3,23
11,9,3,2,1,21,3,1,2,7,2,3,1,24
11,22,1,3,4,29,3,3,4,20,4,2,2,25
29,23,3,2,3,8,4,4,1,21,4,3,3,26
9,19,2,1,3,27,1,3,3,20,2,2,3,27
15,24,1,2,2,22,1,2,2,19,4,2,3,24
30,25,3,1,2,14,4,1,3,1,1,2,2,2
31,15,4,3,1,30,3,1,3,22,1,2,3,28
21,26,1,1,1,19,2,1,2,23,3,2,1,11
32,25,1,1,1,12,3,4,2,24,1,3,3,29
33,27,1,1,2,14,4,1,3,25,2,1,1,30
14,28,3,1,2,14,1,1,1,24,2,3,2,31
2,8,4,2,4,28,2,3,4,10,2,2,4,13
5,1,2,1,2,31,4,2,3,24,4,2,3,32
10,27,4,4,3,18,1,3,4,6,2,3,4,9
34,29,1,3,4,26,2,1,4,20,1,1,3,33
35,30,4,2,3,14,2,2,3,7,3,3,2,4
2,6,3,2,4,18,4,4,2,26,2,3,1,31
2,11,1,4,4,32,2,4,2,16,1,3,1,34
36,31,2,4,3,30,1,3,2,5,3,3,3,35
