1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
2,1,3,3,3,3,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,2,1,2,3,1,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3
3,3,1,4,4,4,2,2,3,4,4,4,4,4,4,4,1,2,4,4,4,4,4,4,3,4,4,3,3,3,4,1,4,3,4,1,3,3,1,3,4,4,4,4,4,2,4,4,3,3,4,3,3,3,4,4,4,4,4
1,1,3,5,5,5,1,2,2,5,5,5,5,5,5,5,3,3,2,5,3,3,4,5,4,5,5,4,4,1,5,1,3,4,5,3,4,4,3,4,5,5,5,5,5,3,5,5,4,4,5,4,4,1,5,5,5,5,5
4,3,4,6,6,6,3,1,4,6,6,6,6,6,6,6,2,2,4,6,2,5,2,6,5,4,6,3,1,4,6,2,1,5,6,4,5,5,2,1,6,6,4,6,6,4,6,6,1,5,6,5,1,4,6,6,6,6,6
3,4,3,7,7,7,3,1,2,7,7,7,7,7,7,7,1,4,5,7,5,4,3,7,2,6,7,1,4,5,7,2,4,2,7,3,2,6,2,4,7,7,6,7,7,4,7,7,4,3,7,5,3,4,7,7,7,7,7
2,5,4,8,8,8,3,2,5,8,8,8,8,8,8,8,3,3,3,8,4,4,5,8,2,2,8,5,1,3,8,3,5,4,8,1,6,7,2,5,8,8,7,8,2,2,4,8,5,6,8,3,5,4,8,8,8,8,8
1,3,3,9,9,9,1,4,5,8,9,9,1,9,9,9,4,2,2,9,4,2,5,9,1,7,9,1,5,6,9,4,2,1,9,5,6,8,1,6,9,5,8,9,5,5,5,9,2,7,9,3,4,1,9,2,2,9,9
5,5,5,10,10,10,4,5,3,1,10,9,9,10,10,10,3,5,2,10,2,4,3,10,1,8,10,4,4,4,10,1,5,2,10,2,1,9,4,7,4,8,9,10,8,2,8,10,4,8,10,1,1,3,10,9,9,10,10
2,1,2,11,11,11,1,4,3,9,11,10,5,11,11,11,1,4,4,11,2,4,6,11,3,5,11,4,5,5,11,1,1,5,11,5,1,10,5,6,10,9,10,11,9,4,9,11,2,9,10,3,2,1,11,10,10,11,11
3,2,5,12,12,12,2,2,2,10,12,11,10,12,12,12,5,4,5,12,1,4,5,12,1,9,12,4,4,6,12,4,1,5,12,3,7,3,1,3,11,9,11,12,10,5,1,12,3,1,11,1,3,4,4,11,11,12,12
4,4,2,13,13,13,3,4,5,11,13,12,11,13,13,13,2,3,4,13,2,1,3,13,4,10,13,5,4,3,13,3,4,1,13,4,1,11,1,3,12,10,12,13,11,3,8,13,1,1,10,3,5,5,6,12,12,13,13
2,3,1,14,14,14,5,2,1,12,14,13,8,14,14,14,3,2,5,14,2,3,3,14,4,2,14,5,4,5,1,5,5,4,14,4,8,1,1,8,13,11,13,14,12,1,1,13,5,8,12,4,1,5,12,13,13,14,14
3,4,2,15,15,15,1,4,4,13,15,14,12,15,6,15,4,4,5,15,2,1,6,6,4,11,15,5,2,6,14,5,5,4,15,3,9,12,4,9,14,12,14,15,13,3,10,14,4,9,8,4,1,1,13,14,14,15,15
4,2,4,16,16,16,4,4,1,14,16,15,7,16,15,4,2,1,3,16,4,2,6,15,1,12,16,5,3,2,15,3,1,3,16,3,10,13,4,10,15,13,15,16,14,4,11,15,4,10,13,5,2,5,14,15,15,16,16
1,5,5,12,17,17,4,1,1,15,17,16,13,17,12,12,4,3,5,17,2,1,2,16,2,2,17,4,2,1,16,5,1,6,17,2,5,14,2,8,16,14,16,17,15,5,5,9,2,8,14,4,2,2,15,16,5,17,17
