1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2,1,3,3,3,3,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,1,3,3,2,1,2,3,3,3,2,3,1,1,1,1,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3
3,3,1,4,4,4,2,2,3,4,4,4,4,4,4,4,1,2,4,4,2,3,4,4,3,4,4,3,3,3,4,4,3,2,4,2,3,3,1,3,4,4,4,4,4,3,4,4,3,3,4,3,2,4,4,4,4,4,4
1,1,3,5,5,5,1,2,2,5,5,5,5,5,5,5,3,3,2,5,4,2,4,5,4,5,5,4,4,1,5,1,3,3,5,3,4,4,3,4,5,5,5,5,5,4,1,5,4,4,5,1,2,1,5,5,5,5,5
4,3,4,6,6,6,3,1,4,6,6,6,6,6,6,6,2,2,4,6,5,4,3,6,5,4,6,3,1,4,6,2,1,4,6,3,5,5,2,1,6,6,6,6,6,2,5,6,1,5,6,4,1,1,6,6,6,6,6
3,4,3,7,7,7,3,1,2,7,7,7,7,7,7,7,1,4,5,7,5,3,3,7,2,6,7,1,4,5,7,5,4,4,7,4,2,6,2,4,7,7,7,7,7,5,6,7,4,3,7,4,3,5,7,7,7,7,7
2,5,4,8,8,8,3,2,5,8,8,8,1,1,8,8,3,3,3,8,2,3,5,8,2,2,8,5,1,3,8,4,2,3,8,1,6,7,2,5,8,8,8,8,8,2,7,8,5,6,8,3,4,5,8,8,8,8,8
1,3,3,9,9,3,1,4,5,8,9,9,1,1,9,9,4,2,2,9,2,5,4,9,1,7,9,1,5,6,9,1,5,5,9,3,7,8,1,6,9,9,9,9,9,5,8,9,2,7,9,3,5,1,9,2,2,9,9
5,5,5,10,10,9,4,5,3,1,10,10,8,8,10,10,3,5,2,10,5,3,3,7,1,8,10,4,4,4,10,1,2,1,10,2,1,9,4,7,4,10,10,10,10,3,6,10,4,8,10,1,1,5,10,9,9,10,10
2,1,2,11,11,10,1,4,3,9,11,11,9,9,11,11,1,4,4,11,3,4,5,10,3,5,11,4,5,5,11,1,3,4,11,5,1,10,5,6,10,11,11,11,11,5,9,11,2,9,10,2,2,1,11,10,10,11,11
3,2,5,12,12,11,2,2,2,10,12,12,10,10,12,12,5,4,5,12,1,3,6,11,1,9,12,4,4,6,12,4,1,4,12,3,8,3,1,3,11,12,12,12,12,1,9,12,3,1,11,1,4,5,12,11,11,12,12
4,4,2,13,13,12,3,4,5,11,13,13,11,11,13,13,2,3,4,13,5,1,3,12,4,10,13,5,4,3,13,4,4,1,13,3,1,11,1,3,12,13,13,13,13,4,6,13,1,1,10,3,4,6,6,12,12,13,13
2,3,1,14,14,13,5,2,1,12,14,14,12,12,14,14,3,2,5,14,5,4,1,13,4,2,14,5,4,5,1,5,2,3,14,3,9,1,1,8,13,14,14,14,14,1,1,1,5,8,12,5,1,4,13,13,13,14,14
3,4,2,15,15,14,1,4,4,13,15,15,13,13,6,15,4,4,5,15,2,1,5,14,4,11,15,5,2,6,14,5,5,3,15,4,1,12,4,9,14,15,15,15,15,1,7,14,4,9,8,3,1,1,14,14,14,15,15
4,2,4,16,16,15,4,4,1,14,16,16,14,14,15,4,2,1,3,16,2,4,5,15,1,12,16,5,3,2,15,4,1,3,16,4,5,13,4,10,15,16,16,16,16,5,6,7,4,10,13,4,2,4,15,15,15,16,16
1,5,5,12,17,16,4,1,1,15,17,11,15,15,12,12,4,3,5,17,5,2,2,16,2,2,17,4,2,1,16,5,1,6,17,5,10,14,2,8,16,17,17,17,17,5,8,9,2,8,14,5,2,4,16,16,5,17,17
1,5,3,17,18,17,4,3,5,16,18,17,16,16,16,16,5,1,5,18,5,1,6,17,2,10,18,1,1,2,17,5,3,3,18,1,6,7,1,10,8,18,18,18,18,5,5,15,1,9,15,3,3,5,11,1,16,18,18
4,1,4,18,19,18,4,2,3,17,19,18,17,17,17,17,2,5,1,19,5,1,5,18,4,12,19,1,3,6,18,3,3,3,7,2,11,15,3,11,17,19,19,19,19,3,5,16,2,11,16,5,5,2,15,17,4,19,19
4,2,6,19,20,6,2,1,3,18,20,19,18,18,6,15,1,4,1,20,3,5,5,13,5,4,6,2,2,6,19,2,2,6,19,1,12,16,3,4,16,20,20,3,3,5,10,17,5,12,17,1,4,6,17,18,17,13,20
