1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3
1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,1,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6
1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,7
1,1,1,1,1,3,1,1,1,1,1,1,1,1,8,8,1,1,8
2,2,2,1,1,4,1,2,1,2,1,2,1,2,9,9,2,2,9
2,2,2,1,1,4,1,2,1,2,1,2,1,2,10,10,3,3,10
2,2,2,1,1,5,1,2,1,2,1,2,1,2,11,11,4,4,11
2,2,2,1,1,4,1,2,1,2,1,2,1,2,12,12,5,4,12
2,2,2,1,1,4,1,2,1,2,1,2,1,2,13,13,6,5,13
3,2,2,1,1,4,1,2,1,2,1,2,1,2,14,14,1,6,14
2,2,2,1,1,4,1,2,1,2,1,2,1,2,15,15,1,6,15
2,2,2,1,1,4,1,2,1,2,1,2,1,3,16,16,7,7,16
2,2,2,1,1,4,1,2,1,2,2,2,1,3,17,17,8,8,17
2,2,2,1,1,4,1,2,1,2,1,2,1,3,18,18,3,9,18
2,2,2,1,1,4,1,2,1,2,1,2,1,3,19,19,5,10,19
4,3,3,1,1,6,1,3,2,3,1,2,1,2,9,9,9,11,9
4,3,3,1,1,6,1,3,2,3,1,2,1,2,10,10,8,12,10
4,3,3,1,1,6,1,3,2,3,1,2,1,4,11,11,10,13,11
4,3,3,1,1,6,1,3,2,3,1,3,1,5,12,12,5,14,12
4,3,3,1,1,6,1,3,2,3,1,2,1,2,13,13,8,15,13
4,3,3,1,1,6,1,3,2,4,1,2,2,2,14,14,1,6,14
4,3,3,1,1,6,1,3,2,3,1,2,1,2,15,15,11,16,15
4,4,3,1,1,6,1,3,2,3,1,2,1,3,16,16,12,17,16
4,3,3,1,1,6,1,3,2,3,1,4,1,3,17,17,8,18,17
4,3,3,1,1,6,1,3,2,3,1,2,1,3,18,18,13,19,18
4,3,3,1,1,6,1,3,2,3,1,2,1,3,19,19,5,20,19
4,3,3,1,1,6,1,3,2,3,1,2,1,6,20,20,14,21,20
4,3,3,1,1,6,1,3,2,3,1,5,1,6,21,21,15,22,21
4,3,3,1,1,6,1,3,2,3,1,2,1,6,22,22,8,23,22
4,3,3,1,1,6,1,3,2,3,1,2,1,6,23,23,3,24,23
4,3,3,1,1,6,1,3,2,3,1,2,1,6,24,24,7,25,24
4,3,3,1,1,6,1,3,2,3,1,2,1,6,25,25,16,26,25
4,3,3,1,1,6,1,3,2,5,1,2,1,1,1,26,11,27,1
4,3,3,1,1,6,1,3,2,3,1,2,1,1,2,2,17,28,2
4,3,3,1,1,6,1,3,2,3,1,2,1,1,3,3,9,29,3
4,3,3,1,1,6,1,3,2,3,3,2,1,1,4,4,18,30,4
4,3,3,1,1,6,1,3,2,3,1,2,1,1,5,5,10,31,5
4,3,3,1,1,6,1,3,2,3,1,2,1,1,6,6,19,32,6
4,3,3,1,1,6,2,3,2,3,1,6,1,1,7,7,6,33,7
4,3,3,1,1,6,1,3,2,3,1,2,3,1,8,8,20,34,8
5,5,4,1,1,7,1,4,3,6,1,2,1,2,9,9,7,35,9
6,5,4,1,1,7,1,5,3,6,1,2,1,2,10,10,21,36,10
5,5,4,1,1,7,2,5,3,6,1,2,1,2,11,11,5,37,11
5,5,4,1,1,7,1,5,3,6,1,2,1,2,12,12,1,6,12
5,5,4,1,1,7,1,5,3,6,1,2,1,2,13,13,5,36,13
5,5,4,1,1,7,1,5,3,6,1,2,1,2,14,14,1,6,14
5,5,4,1,1,7,2,5,3,6,1,2,1,2,15,15,1,6,15
