1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2
3,3,1,2,3,3,2,2,2,3,2,1,3,3,3,3,3,2,2,2,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,2,1,3,3,3,2,1,3,3,2,2,3,2,3,3,3,3,3,1
4,4,3,3,1,4,3,1,3,4,3,3,4,4,4,4,4,3,3,2,4,1,4,3,3,4,1,1,4,4,4,4,4,4,4,2,3,4,4,4,3,4,4,4,2,1,4,4,1,1,2,4,2,1,3,4,2,4,4,4,4,4,3
5,5,3,4,4,5,4,3,2,5,1,4,3,5,5,3,5,1,2,3,5,1,4,1,4,3,2,3,5,5,5,5,5,5,5,4,4,5,2,5,4,1,2,5,1,1,4,5,2,3,2,5,3,3,4,5,3,5,5,5,5,5,4
6,6,2,5,3,6,1,4,4,6,3,4,2,6,6,5,6,2,4,1,6,3,2,4,5,4,3,4,6,6,6,6,6,6,6,5,5,6,5,4,5,5,5,6,2,1,4,4,1,4,3,6,1,3,2,6,3,6,6,6,6,6,5
7,7,1,1,4,7,4,1,4,7,1,2,2,7,5,1,7,3,5,1,7,3,2,3,6,2,4,1,7,7,7,7,7,7,7,4,6,7,4,6,6,6,6,7,2,3,1,6,1,2,3,7,4,1,3,7,4,2,7,7,7,7,6
8,8,2,2,4,8,2,5,4,8,3,5,3,8,6,6,8,3,4,3,8,4,4,1,7,3,5,2,8,8,8,8,8,7,7,1,5,8,4,6,7,2,7,8,2,3,4,7,2,5,4,8,1,3,3,5,2,7,8,8,8,8,7
9,9,3,2,2,9,2,4,1,9,1,5,1,9,5,7,9,4,3,3,9,3,5,4,8,1,5,1,9,9,9,9,9,6,6,1,7,9,5,3,8,6,8,9,2,3,1,6,4,1,1,9,3,4,3,8,2,8,9,9,9,9,8
10,10,3,1,3,10,2,4,3,10,4,2,4,10,6,2,10,2,4,3,10,4,2,1,9,3,4,2,10,10,1,10,10,8,8,1,1,1,4,7,8,5,9,10,3,4,1,8,2,6,2,10,3,2,4,9,2,1,10,10,10,10,9
